TransactionID,CustomerID,TransactionDate,Amount,Merchant,Location,Currency,unknown_merchant_flag,unknown_location_flag,RateToUSD,fx_match_status,AmountUSD
2,32,2024-03-05,1347.16,Unknown,XX,SGD,1,1,,Missing Rate,
3,5,2024-03-10,1536.55,Grab,SG,MYR,0,0,,Missing Rate,
4,7,2024-03-19,910.69,Shopee,XX,SGD,0,1,,Missing Rate,
10,3,2024-04-13,104.75,Amazon,US,SGD,0,0,,Missing Rate,
11,4,2024-03-12,1050.65,Netflix,SG,SGD,0,0,,Missing Rate,
12,9,2024-03-17,1249.85,Shopee,MY,SGD,0,0,,Missing Rate,
13,16,2024-05-21,252.66,Unknown,UK,MYR,1,0,,Missing Rate,
15,8,2024-04-04,432.09,Unknown,UK,USD,1,0,,Missing Rate,
17,19,2024-05-10,1799.27,Netflix,US,MYR,0,0,,Missing Rate,
22,31,2024-04-10,1076.63,Grab,SG,MYR,0,0,,Missing Rate,
23,35,2024-04-16,237.79,Lazada,XX,USD,0,1,,Missing Rate,
24,29,2024-05-05,1468.5,Amazon,XX,MYR,0,1,,Missing Rate,
25,17,2024-03-15,899.58,Unknown,SG,SGD,1,0,,Missing Rate,
26,12,2024-03-08,984.49,Lazada,XX,SGD,0,1,,Missing Rate,
27,38,2024-03-15,561.2,Unknown,UK,GBP,1,0,,Missing Rate,
28,30,2024-03-12,1962.72,Netflix,US,GBP,0,0,,Missing Rate,
29,25,2024-04-21,1550.28,Grab,US,GBP,0,0,,Missing Rate,
30,22,2024-03-12,1984.02,Unknown,UK,SGD,1,0,,Missing Rate,
32,14,2024-04-27,1211.18,Shopee,MY,GBP,0,0,,Missing Rate,
33,2,2024-03-26,99999.0,Shopee,US,MYR,0,0,,Missing Rate,
34,33,2024-03-16,1015.94,Lazada,SG,USD,0,0,,Missing Rate,
35,32,2024-05-21,217.95,Netflix,UK,SGD,0,0,,Missing Rate,
38,19,2024-05-15,1780.02,Shopee,MY,GBP,0,0,,Missing Rate,
40,33,2024-05-08,1972.43,Netflix,US,GBP,0,0,,Missing Rate,
41,13,2024-03-12,491.97,Shopee,MY,MYR,0,0,,Missing Rate,
44,27,2024-03-18,1805.29,Grab,US,MYR,0,0,,Missing Rate,
45,23,2024-03-08,634.39,Unknown,UK,USD,1,0,,Missing Rate,
46,27,2024-05-20,1049.85,Unknown,MY,USD,1,0,,Missing Rate,
48,17,2024-03-25,1620.17,Shopee,SG,GBP,0,0,,Missing Rate,
50,7,2024-04-20,981.94,Shopee,US,USD,0,0,,Missing Rate,
52,9,2024-05-28,1228.57,Shopee,UK,USD,0,0,,Missing Rate,
53,19,2024-03-23,1493.1,Unknown,UK,MYR,1,0,,Missing Rate,
54,37,2024-03-13,1017.62,Shopee,US,MYR,0,0,,Missing Rate,
58,29,2024-05-30,1266.88,Amazon,MY,GBP,0,0,,Missing Rate,
59,7,2024-04-18,63.74,Unknown,XX,USD,1,1,,Missing Rate,
61,37,2024-03-08,1951.7,Shopee,UK,MYR,0,0,,Missing Rate,
63,27,2024-04-18,214.29,Amazon,UK,MYR,0,0,,Missing Rate,
65,9,2024-03-13,1493.81,Lazada,UK,GBP,0,0,,Missing Rate,
66,3,2024-04-10,1605.87,Lazada,MY,MYR,0,0,,Missing Rate,
68,7,2024-05-01,163.51,Netflix,UK,SGD,0,0,,Missing Rate,
69,1,2024-04-13,1103.5,Amazon,XX,GBP,0,1,,Missing Rate,
70,22,2024-04-15,151.8,Grab,MY,USD,0,0,,Missing Rate,
71,28,2024-04-13,1513.65,Netflix,MY,USD,0,0,,Missing Rate,
73,13,2024-05-29,1868.8,Lazada,XX,MYR,0,1,,Missing Rate,
77,29,2024-04-20,818.09,Unknown,XX,SGD,1,1,,Missing Rate,
79,22,2024-04-02,693.04,Grab,UK,SGD,0,0,,Missing Rate,
80,30,2024-03-03,1254.47,Netflix,SG,GBP,0,0,,Missing Rate,
81,30,2024-03-11,950.54,Grab,XX,MYR,0,1,,Missing Rate,
82,19,2024-05-14,818.29,Grab,UK,SGD,0,0,,Missing Rate,
83,31,2024-03-06,826.59,Grab,XX,MYR,0,1,,Missing Rate,
84,27,2024-04-22,704.03,Netflix,MY,MYR,0,0,,Missing Rate,
86,32,2024-04-11,1889.82,Lazada,US,GBP,0,0,,Missing Rate,
88,5,2024-05-30,939.13,Shopee,MY,MYR,0,0,,Missing Rate,
89,31,2024-05-14,1645.52,Amazon,SG,MYR,0,0,,Missing Rate,
91,3,2024-05-18,1559.22,Grab,MY,MYR,0,0,,Missing Rate,
94,17,2024-05-15,953.05,Netflix,UK,SGD,0,0,,Missing Rate,
95,25,2024-04-24,942.53,Netflix,MY,GBP,0,0,,Missing Rate,
96,21,2024-04-24,1208.54,Amazon,US,MYR,0,0,,Missing Rate,
