TransactionID,CustomerID,TransactionDate,Amount,Currency,RateToUSD,AmountUSD,Merchant,Location,unknown_merchant_flag,unknown_location_flag,fx_match_status,expected_currency,geo_mismatch_flag,merchant_frequency,merchant_risk_flag,same_day_customer_count,velocity_flag,merchant_mean,merchant_std,merchant_count,high_value_flag,red_flag_count,has_red_flag,audit_risk_score,audit_priority,audit_reason,audit_action,IsFraud,geo_review_flag,optimized_rule_flag,fx_missing_flag,customer_frequency,log_amount,isolation_forest_flag,hybrid_flag,final_detection_flag,final_audit_priority,priority_sort,transaction_month,transaction_dayofweek,supervised_ml_score,supervised_ml_flag,confirmed_currency_mismatch_flag,location_frequency,currency_frequency,kmeans_cluster,kmeans_anomaly_score,kmeans_anomaly_flag
1,3,2024-01-29,1808.01,USD,0.216,390.53015999999997,Netflix,UK,0,0,Matched,GBP,1,27,0,1,0,959.2155672727273,677.1496950068495,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale,0,1,1,0,5,7.500535013295992,0,1,1,High,3,1,0,0.3814558541592362,1,1,35,31,1,2.012895056607958,0
2,32,2024-03-05,1347.16,SGD,,,Unknown,XX,1,1,Missing Rate,,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,3,Medium,Unknown merchant; Transaction location unavailable,Verify merchant identity and supporting documentation; Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,4,7.2064959787906515,0,0,0,Medium,3,3,1,0.3768596679618138,1,0,32,33,3,2.1717264738533033,0
3,5,2024-03-10,1536.55,MYR,,,Grab,SG,0,0,Missing Rate,SGD,1,27,0,1,0,1326.722148181818,998.6223743343049,11,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,7.337945519477102,0,1,1,High,3,3,6,0.3361133547711262,1,1,22,49,1,2.6915676833572277,0
4,7,2024-03-19,910.69,SGD,,,Shopee,XX,0,1,Missing Rate,,1,27,0,1,0,732.755110909091,621.646604940986,11,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence; Resolve missing exchange-rate support,0,1,0,1,9,6.815300020010356,0,0,0,Medium,3,3,1,0.011066336364824448,0,0,32,33,1,2.896743463721206,0
5,7,2024-01-04,1702.65,GBP,0.224,381.39360000000005,Unknown,US,1,0,Matched,USD,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation,0,1,1,0,9,7.440528287230952,0,1,1,Critical,3,1,3,0.8224599598967637,1,1,30,36,3,2.347058448268259,0
6,29,2024-01-30,1006.22,MYR,0.256,257.59232000000003,Amazon,XX,0,1,Matched,,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,1,Medium,Transaction location unavailable,Obtain location evidence,0,1,0,0,9,6.914949339562377,0,0,0,Medium,3,1,1,0.08104207584566989,0,0,32,49,1,3.105496754723688,0
7,5,2024-01-14,1248.71,MYR,1.377,1719.47367,Unknown,UK,1,0,Matched,GBP,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation,0,1,1,0,5,7.130666803380183,0,1,1,Critical,3,1,6,0.13301769449971385,0,1,35,49,3,2.0267502818036136,0
8,25,2024-02-18,537.24,SGD,1.204,646.83696,Shopee,SG,0,0,Matched,SGD,0,27,0,1,0,732.755110909091,621.646604940986,11,0,0,0,0,Low,No red flag,No immediate action,0,0,0,0,6,6.288304557344529,0,0,0,Low,4,2,6,0.8763740433803667,1,0,22,33,1,3.061593204050943,0
9,9,2024-01-08,1165.33,MYR,1.156,1347.1214799999998,Unknown,US,1,0,Matched,USD,1,30,1,1,0,705.130355625,542.1433258584099,16,0,2,1,5,Medium,Currency does not match transaction location; Unknown merchant,Verify transaction location and currency rationale; Verify merchant identity and supporting documentation,0,1,1,0,4,7.061617345736077,0,1,1,Critical,3,1,0,0.039522358504775916,0,1,30,49,3,1.805288038956354,0
10,3,2024-04-13,104.75,SGD,,,Amazon,US,0,0,Missing Rate,USD,1,22,0,1,0,1107.247377,674.4958542632879,10,0,1,1,3,Medium,Currency does not match transaction location,Verify transaction location and currency rationale; Resolve missing exchange-rate support,0,1,1,1,5,4.661077817926388,0,1,1,High,3,4,5,0.2691529070901408,1,1,30,33,1,2.869125729077396,0
